M̩trica,Hill Climbing,Simulated Annealing,Genetico,Genetico nuevo
Piezas totales,400.0,400.0,400.0,400.0
Puntaje,122640.0,111466.66666666667,87313.33333333333,25340.0
Tiempo promedio,0.0022601954142252,0.00243564260005946,0.0036176152626672866,0.00099280607700342
Lineas eliminadas,143.2,130.13333333333333,110.4,48.46666666666667
Altura max,8.666666666666666,11.8,16.933333333333334,21.533333333333335
Huecos,3.8,6.4,9.2,15.266666666666667
Singles,94.53333333333333,80.46666666666667,54.53333333333333,22.6
Doubles,17.0,14.2,17.266666666666666,8.333333333333334
Triples,3.7333333333333334,4.866666666666666,4.8,2.2666666666666666
Tetrises,0.8666666666666667,1.6666666666666667,1.7333333333333334,0.6
Nivel,14.733333333333333,13.6,11.533333333333333,5.466666666666667
